
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2024-03-13;57.520,01;4801947565609;59.601,24;4317641294340;54.755,39;5820665343093;58.330,79;1602816233972;91.986,02;1148628380627;53.819,97;3942751391836;58.988,98;215474536636
2024-03-14;57.309,95;4786137252378;59.370,52;4306727665794;54.566,87;5803542806038;58.116,75;1598475897934;91.658,07;1145634040232;53.605,42;3931787372507;58.784,22;215361968497
2024-03-15;56.991,62;4753106782174;59.039,84;4275066713713;54.257,62;5765262465003;57.796,36;1589271695514;91.184,03;1141297708298;53.286,67;3897811878210;58.498,33;217398113334
2024-03-16;56.991,62;4753106782174;59.039,84;4275066713713;54.257,62;5765262465003;57.796,36;1589271695514;91.184,03;1141297708298;53.286,67;3897811878210;58.498,33;217398113334
2024-03-17;56.991,62;4753106782174;59.039,84;4275066713713;54.257,62;5765262465003;57.796,36;1589271695514;91.184,03;1141297708298;53.286,67;3897811878210;58.498,33;217398113334
2024-03-18;56.874,40;4746267469363;58.935,72;4268016934386;54.146,00;5754684298184;57.674,91;1587919835084;91.023,10;1140368695949;53.174,49;3892332152635;58.385,59;217387516237
2024-03-19;56.731,27;4760282528215;58.785,85;4272581791445;54.007,69;5768739917302;57.532,31;1586419199683;90.806,28;1138521387987;53.033,94;3887336436013;58.267,38;217631518570
2024-03-20;56.799,42;4782882868084;58.852,28;4279997867862;54.092,61;5790161453987;57.614,98;1589568425061;90.891,36;1140708409612;53.104,74;3892545796404;58.309,08;217843543903
2024-03-21;56.799,56;4788167072426;58.847,25;4279873500679;54.098,81;5793422114388;57.621,76;1589970566641;90.918,88;1141618444395;53.110,31;3893252661447;58.296,65;217901242673
2024-03-22;56.831,64;4788167030123;58.894,00;4282720676113;54.127,05;5797117706430;57.669,00;1590665948609;90.981,55;1141165382161;53.128,05;3889467588564;58.347,46;217435532940
2024-03-23;56.831,64;4788167030123;58.894,00;4282720676113;54.127,05;5797117706430;57.669,00;1590665948609;90.981,55;1141165382161;53.128,05;3889467588564;58.347,46;217435532940
2024-03-24;56.831,64;4788167030123;58.894,00;4282720676113;54.127,05;5797117706430;57.669,00;1590665948609;90.981,55;1141165382161;53.128,05;3889467588564;58.347,46;217435532940
2024-03-25;56.963,64;4803073690180;59.028,86;4283770708296;54.273,91;5809399269327;57.820,50;1594687812820;91.204,89;1143678978626;53.269,92;3898969153392;58.474,01;217863129440
2024-03-26;56.944,01;4790500063652;59.011,36;4259028363132;54.235,83;5788962546571;57.795,72;1591952651287;91.160,39;1142419849088;53.234,14;3894930675741;58.462,58;217331938304
2024-03-27;56.920,60;4779067763796;58.988,77;4246263954275;54.216,34;5773067584385;57.790,08;1590092335399;91.131,28;1141115881831;53.232,28;3893077939222;58.435,19;217021130559
2024-03-28;57.143,84;4789888587049;59.216,43;4256573511122;54.441,33;5786826930653;58.042,17;1595895027009;91.505,25;1144962907524;53.427,56;3904940423703;58.683,43;217997138700
2024-03-29;57.143,84;4789888587049;59.216,43;4256573511122;54.441,33;5786826930653;58.042,17;1595895027009;91.505,25;1144962907524;53.427,56;3904940423703;58.683,43;217997138700
2024-03-30;57.143,84;4789888587049;59.216,43;4256573511122;54.441,33;5786826930653;58.042,17;1595895027009;91.505,25;1144962907524;53.427,56;3904940423703;58.683,43;217997138700
2024-03-31;57.143,84;4789888587049;59.216,43;4256573511122;54.441,33;5786826930653;58.042,17;1595895027009;91.505,25;1144962907524;53.427,56;3904940423703;58.683,43;217997138700
2024-04-01;57.256,08;4780302689763;59.312,98;4254135645312;54.538,55;5782148502107;58.130,67;1596097886818;91.664,60;1148459528579;53.534,04;3901266770806;58.791,40;221016934860
2024-04-02;57.049,64;4753573067581;59.096,57;4232405320590;54.309,56;5748996380225;57.923,58;1588820248223;91.336,70;1143504366897;53.299,66;3880495987738;58.628,68;220003009604
2024-04-03;56.861,38;4728306656301;58.863,88;4201675912531;54.110,39;5716631172732;57.720,66;1582455956244;91.008,56;1138227092154;53.096,59;3863904991675;58.431,68;218904061089
2024-04-04;56.820,24;4718802399325;58.848,09;4196037481667;54.058,83;5703210753149;57.677,38;1579450315198;90.915,52;1135901172318;53.069,23;3860203236594;58.357,41;218638670590
2024-04-05;56.674,98;4670274625163;58.705,87;4158752755126;53.900,22;5638980512885;57.503,06;1570540145417;90.647,89;1129395102532;52.954,13;3842188760742;58.195,13;217014776464
2024-04-06;56.674,98;4670274625163;58.705,87;4158752755126;53.900,22;5638980512885;57.503,06;1570540145417;90.647,89;1129395102532;52.954,13;3842188760742;58.195,13;217014776464
2024-04-07;56.674,98;4670274625163;58.705,87;4158752755126;53.900,22;5638980512885;57.503,06;1570540145417;90.647,89;1129395102532;52.954,13;3842188760742;58.195,13;217014776464
2024-04-08;56.537,20;4653068972964;58.535,32;4140804912243;53.767,15;5625964639453;57.348,63;1565581012041;90.408,50;1124626725130;52.795,15;3828836293119;58.063,24;216014215941
2024-04-09;56.174,86;4619162948277;58.165,59;4117227415526;53.386,06;5583417137341;56.970,11;1554311663995;89.851,09;1117837325897;52.440,01;3802507598096;57.731,67;214980332042
2024-04-10;56.341,64;4633196995790;58.355,46;4128342538488;53.554,39;5599405794128;57.112,46;1557565850527;90.093,92;1120533141780;52.617,59;3813146904430;57.861,02;215547983347
2024-04-11;55.976,33;4595249366401;57.970,09;4091518976446;53.156,82;5553974324476;56.746,65;1547846476927;89.582,79;1113010525604;52.230,52;3784476570242;57.617,98;214752970086
2024-04-12;55.817,06;4577899647267;57.778,16;4075322636073;53.003,28;5524524200229;56.568,81;1542777595449;89.318,85;1107731260565;52.057,20;3764199702095;57.440,09;213797423338
2024-04-13;55.817,06;4577899647267;57.778,16;4075322636073;53.003,28;5524524200229;56.568,81;1542777595449;89.318,85;1107731260565;52.057,20;3764199702095;57.440,09;213797423338
2024-04-14;55.817,06;4577899647267;57.778,16;4075322636073;53.003,28;5524524200229;56.568,81;1542777595449;89.318,85;1107731260565;52.057,20;3764199702095;57.440,09;213797423338
2024-04-15;55.937,66;4578069167832;57.913,45;4077880326421;53.131,47;5531523220552;56.699,06;1546828533786;89.488,83;1110170405476;52.194,36;3767401358720;57.488,91;216051265601
2024-04-16;55.546,71;4543779723239;57.501,88;4047077780481;52.723,83;5480835756548;56.307,47;1537155291395;88.884,13;1102651612418;51.835,90;3742480968688;57.150,19;215354476581
2024-04-17;55.082,92;4506435898932;56.986,76;4002945040412;52.267,36;5430598088045;55.840,64;1526373426903;88.129,52;1093836683276;51.392,69;3711503909564;56.716,96;213789182262
2024-04-18;55.229,10;4518891420313;57.126,63;4011227455922;52.383,87;5441962363589;55.979,19;1531847071460;88.318,94;1097196951764;51.532,57;3723868724212;56.796,19;214691882766
2024-04-19;54.963,74;4503054109405;56.823,84;3979932205412;52.134,77;5408682419292;55.723,97;1524689099616;87.895,33;1091688509086;51.292,68;3705695974543;56.559,67;214080795865
2024-04-20;54.963,74;4503054109405;56.823,84;3979932205412;52.134,77;5408682419292;55.723,97;1524689099616;87.895,33;1091688509086;51.292,68;3705695974543;56.559,67;214080795865
2024-04-21;54.963,74;4503054109405;56.823,84;3979932205412;52.134,77;5408682419292;55.723,97;1524689099616;87.895,33;1091688509086;51.292,68;3705695974543;56.559,67;214080795865
2024-04-22;55.163,44;4509492192474;57.009,00;3980923741485;52.313,11;5418247383978;55.912,62;1529867699495;88.214,87;1094541351249;51.470,97;3716409042965;56.734,39;215067869057
2024-04-23;55.286,65;4513855624292;57.141,77;3985406956170;52.435,74;5429295177075;56.051,19;1533162568727;88.408,28;1096684844785;51.591,80;3723500142194;56.872,66;215621082790
2024-04-24;55.352,98;4512087956865;57.207,72;3982884749793;52.532,13;5434240028990;56.105,65;1534093317289;88.512,16;1097219616210;51.651,15;3726477065511;56.917,67;215063985598
2024-04-25;55.241,73;4508426164557;57.080,07;3976923008302;52.418,71;5427664356051;55.986,24;1531672796702;88.356,01;1095775571021;51.529,72;3717674525870;56.826,39;214846318586
2024-04-26;55.056,12;4491103963268;56.888,80;3970174645485;52.247,67;5411348389273;55.793,71;1526490889488;88.081,37;1091840400756;51.366,57;3704939545000;56.671,58;214402626696
2024-04-27;55.056,12;4491103963268;56.888,80;3970174645485;52.247,67;5411348389273;55.793,71;1526490889488;88.081,37;1091840400756;51.366,57;3704939545000;56.671,58;214402626696
2024-04-28;55.056,12;4491103963268;56.888,80;3970174645485;52.247,67;5411348389273;55.793,71;1526490889488;88.081,37;1091840400756;51.366,57;3704939545000;56.671,58;214402626696
2024-04-29;55.278,38;4507190161988;57.127,76;3987894324580;52.464,78;5430126250622;56.018,50;1532467277672;88.442,58;1095649507588;51.568,13;3718379590618;56.905,11;215366902418
2024-04-30;55.444,59;4521806379028;57.331,02;4003357421356;52.650,93;5449078925969;56.211,62;1537748934017;88.716,19;1097922391704;51.745,27;3730760394893;57.069,47;215884745485
2024-05-01;55.444,59;4521806379028;57.331,02;4003357421356;52.650,93;5449078925969;56.211,62;1537748934017;88.716,19;1097922391704;51.745,27;3730760394893;57.069,47;215884745485
2024-05-02;55.489,84;4509760856363;57.419,53;4005009772057;52.672,10;5443967034426;56.258,05;1536083501274;88.810,41;1101875464879;51.810,15;3723573669618;57.101,29;218600958266
2024-05-03;55.705,93;4522862984737;57.635,88;4017264341925;52.898,56;5458816793561;56.447,38;1540403963460;89.072,87;1104096653372;52.038,19;3738685651588;57.253,09;218930856484
2024-05-04;55.705,93;4522862984737;57.635,88;4017264341925;52.898,56;5458816793561;56.447,38;1540403963460;89.072,87;1104096653372;52.038,19;3738685651588;57.253,09;218930856484
2024-05-05;55.705,93;4522862984737;57.635,88;4017264341925;52.898,56;5458816793561;56.447,38;1540403963460;89.072,87;1104096653372;52.038,19;3738685651588;57.253,09;218930856484
2024-05-06;56.039,61;4545634393775;57.995,87;4039179975584;53.237,87;5481912856154;56.758,84;1547897764280;89.579,08;1109827220324;52.337,93;3757353022408;57.569,66;220016889164
2024-05-07;56.214,78;4559533168253;58.172,81;4046541827066;53.401,19;5495739528801;56.905,19;1551779629600;89.829,50;1113330312225;52.478,44;3768114148358;57.721,83;220466551598
2024-05-08;56.371,55;4572199569560;58.352,38;4054411859081;53.558,04;5506095585957;57.052,65;1555343602597;90.092,68;1116390293936;52.634,03;3778953639047;57.877,00;221043695683
2024-05-09;56.369,83;4568059870408;58.329,31;4052138719674;53.548,91;5502357487139;57.054,78;1554294035766;90.095,46;1115580401317;52.630,26;3778832697310;57.875,38;221081321900
